bath,bath_type,pair,parameter,replicate,value
plunge_glacier,cold_plunge,,temperature_C,1,10.455
plunge_glacier,cold_plunge,,temperature_C,2,8.482
plunge_glacier,cold_plunge,,temperature_C,3,9.114
plunge_glacier,cold_plunge,,temperature_C,4,9.377
plunge_glacier,cold_plunge,,temperature_C,5,9.458
plunge_glacier,cold_plunge,,temperature_C,6,9.917
plunge_glacier,cold_plunge,,temperature_C,7,9.543
plunge_glacier,cold_plunge,,temperature_C,8,9.508
plunge_glacier,cold_plunge,,temperature_C,9,9.15
plunge_glacier,cold_plunge,,temperature_C,10,9.999
plunge_glacier,cold_plunge,,temperature_C,11,8.22
plunge_glacier,cold_plunge,,temperature_C,12,9.702
plunge_glacier,cold_plunge,,pH,1,7.525
plunge_glacier,cold_plunge,,pH,2,7.37
plunge_glacier,cold_plunge,,pH,3,7.505
plunge_glacier,cold_plunge,,pH,4,7.489
plunge_glacier,cold_plunge,,pH,5,7.504
plunge_glacier,cold_plunge,,pH,6,7.476
plunge_glacier,cold_plunge,,pH,7,7.501
plunge_glacier,cold_plunge,,pH,8,7.412
plunge_glacier,cold_plunge,,pH,9,7.472
plunge_glacier,cold_plunge,,pH,10,7.482
plunge_glacier,cold_plunge,,pH,11,7.54
plunge_glacier,cold_plunge,,pH,12,7.509
plunge_glacier,cold_plunge,,salinity_ppt,1,0.438
plunge_glacier,cold_plunge,,salinity_ppt,2,0.363
plunge_glacier,cold_plunge,,salinity_ppt,3,0.426
plunge_glacier,cold_plunge,,salinity_ppt,4,0.393
plunge_glacier,cold_plunge,,salinity_ppt,5,0.341
plunge_glacier,cold_plunge,,salinity_ppt,6,0.437
plunge_glacier,cold_plunge,,salinity_ppt,7,0.45
plunge_glacier,cold_plunge,,salinity_ppt,8,0.483
plunge_glacier,cold_plunge,,salinity_ppt,9,0.358
plunge_glacier,cold_plunge,,salinity_ppt,10,0.411
plunge_glacier,cold_plunge,,salinity_ppt,11,0.36
plunge_glacier,cold_plunge,,salinity_ppt,12,0.356
plunge_glacier,cold_plunge,,free_chlorine_ppm,1,1.776
plunge_glacier,cold_plunge,,free_chlorine_ppm,2,1.995
plunge_glacier,cold_plunge,,free_chlorine_ppm,3,1.771
plunge_glacier,cold_plunge,,free_chlorine_ppm,4,2.354
plunge_glacier,cold_plunge,,free_chlorine_ppm,5,2.423
plunge_glacier,cold_plunge,,free_chlorine_ppm,6,2.089
plunge_glacier,cold_plunge,,free_chlorine_ppm,7,2.219
plunge_glacier,cold_plunge,,free_chlorine_ppm,8,1.836
