tree,leaf_colour,grove,parameter,replicate,value
tree_01,red,Sunhollow,kernel_mass_g,1,30.68
tree_01,red,Sunhollow,oil_content_pct,1,12.566
tree_01,red,Sunhollow,kernel_yield_ct,1,37.031
tree_01,red,Sunhollow,nut_quality_index,1,67.938
tree_01,red,Sunhollow,protein_pct,1,12.374
tree_01,red,Sunhollow,moisture_pct,1,8.048
tree_01,red,Sunhollow,shell_hardness,1,56.534
tree_01,red,Sunhollow,nut_diameter_mm,1,24.75
tree_01,red,Sunhollow,kernel_mass_g,2,31.66
tree_01,red,Sunhollow,oil_content_pct,2,13.0
tree_01,red,Sunhollow,kernel_yield_ct,2,39.58
tree_01,red,Sunhollow,nut_quality_index,2,68.536
tree_01,red,Sunhollow,protein_pct,2,14.678
tree_01,red,Sunhollow,moisture_pct,2,8.471
tree_01,red,Sunhollow,shell_hardness,2,51.814
tree_01,red,Sunhollow,nut_diameter_mm,2,20.039
tree_01,red,Sunhollow,kernel_mass_g,3,28.597
tree_01,red,Sunhollow,oil_content_pct,3,11.308
tree_01,red,Sunhollow,kernel_yield_ct,3,37.93
tree_01,red,Sunhollow,nut_quality_index,3,66.64
tree_01,red,Sunhollow,protein_pct,3,13.313
tree_01,red,Sunhollow,moisture_pct,3,8.379
tree_01,red,Sunhollow,shell_hardness,3,57.958
tree_01,red,Sunhollow,nut_diameter_mm,3,19.772
tree_01,red,Sunhollow,kernel_mass_g,4,30.772
tree_01,red,Sunhollow,oil_content_pct,4,10.677
tree_01,red,Sunhollow,kernel_yield_ct,4,41.63
tree_01,red,Sunhollow,nut_quality_index,4,70.651
tree_01,red,Sunhollow,protein_pct,4,13.288
tree_01,red,Sunhollow,moisture_pct,4,7.318
tree_01,red,Sunhollow,shell_hardness,4,59.372
tree_01,red,Sunhollow,nut_diameter_mm,4,20.435
tree_02,red,Sunhollow,kernel_mass_g,1,31.466
tree_02,red,Sunhollow,oil_content_pct,1,10.854
tree_02,red,Sunhollow,kernel_yield_ct,1,41.727
tree_02,red,Sunhollow,nut_quality_index,1,70.103
tree_02,red,Sunhollow,protein_pct,1,14.763
tree_02,red,Sunhollow,moisture_pct,1,8.54
tree_02,red,Sunhollow,shell_hardness,1,54.977
tree_02,red,Sunhollow,nut_diameter_mm,1,22.633
tree_02,red,Sunhollow,kernel_mass_g,2,32.314
tree_02,red,Sunhollow,oil_content_pct,2,9.911
tree_02,red,Sunhollow,kernel_yield_ct,2,38.386
tree_02,red,Sunhollow,nut_quality_index,2,69.391
tree_02,red,Sunhollow,protein_pct,2,11.786
tree_02,red,Sunhollow,moisture_pct,2,8.417
tree_02,red,Sunhollow,shell_hardness,2,47.984
tree_02,red,Sunhollow,nut_diameter_mm,2,21.591
tree_02,red,Sunhollow,kernel_mass_g,3,33.869
tree_02,red,Sunhollow,oil_content_pct,3,11.503
tree_02,red,Sunhollow,kernel_yield_ct,3,41.009
tree_02,red,Sunhollow,nut_quality_index,3,66.719
tree_02,red,Sunhollow,protein_pct,3,15.686
tree_02,red,Sunhollow,moisture_pct,3,8.984
tree_02,red,Sunhollow,shell_hardness,3,62.945
tree_02,red,Sunhollow,nut_diameter_mm,3,20.567
tree_02,red,Sunhollow,kernel_mass_g,4,32.667
tree_02,red,Sunhollow,oil_content_pct,4,11.243
tree_02,red,Sunhollow,kernel_yield_ct,4,41.082
tree_02,red,Sunhollow,nut_quality_index,4,71.355
tree_02,red,Sunhollow,protein_pct,4,14.797
tree_02,red,Sunhollow,moisture_pct,4,7.866
tree_02,red,Sunhollow,shell_hardness,4,53.761
