bloom,district,spore_density,moisture_uptake,nectar_sugar,acidity,filament_length,pigment_load,drift_speed
Emberbloom-01,foundry,71.6,15.82,24.613,4.025,62.4,35.128,19.92
Emberbloom-02,foundry,59.301,25.93,20.148,5.511,53.663,32.049,15.166
Emberbloom-03,foundry,64.515,16.422,24.049,4.977,48.961,34.743,17.074
Emberbloom-04,foundry,59.492,18.381,21.951,5.254,55.625,40.328,16.92
Emberbloom-05,foundry,65.979,14.834,25.516,5.06,50.742,33.402,21.13
Emberbloom-06,foundry,46.429,21.123,18.781,7.544,39.364,42.065,15.247
Emberbloom-07,foundry,62.96,20.463,18.516,5.46,50.049,35.536,12.894
Emberbloom-08,foundry,63.137,26.28,16.269,6.424,47.924,43.018,13.241
Emberbloom-09,foundry,49.008,15.4,22.895,3.418,45.982,44.696,17.638
Emberbloom-10,foundry,50.005,20.763,15.754,5.63,44.203,44.275,14.704
Emberbloom-11,foundry,64.531,22.934,22.675,5.02,48.99,32.005,17.364
Emberbloom-12,foundry,70.443,30.012,19.921,6.063,54.219,45.655,20.921
Emberbloom-13,foundry,52.315,23.302,15.103,6.391,47.14,44.351,15.8
Emberbloom-14,foundry,59.194,20.932,9.895,6.12,39.61,34.688,16.645
Emberbloom-15,foundry,59.42,19.586,16.869,4.185,45.504,36.52,17.44
Emberbloom-16,foundry,60.831,24.762,21.249,4.829,43.997,34.011,18.158
Emberbloom-17,foundry,69.112,12.698,24.999,6.704,54.362,35.391,16.98
Emberbloom-18,foundry,55.286,20.799,12.545,5.008,43.335,45.734,14.137
Emberbloom-19,foundry,54.061,14.138,19.317,6.079,41.116,37.715,15.74
Emberbloom-20,foundry,56.954,12.94,22.337,5.242,38.255,42.415,10.573
Emberbloom-21,foundry,59.432,29.102,15.499,6.37,50.975,44.391,16.88
Emberbloom-22,foundry,72.851,22.408,19.426,5.905,45.713,36.094,16.056
Emberbloom-23,foundry,51.892,21.764,13.475,5.185,32.644,39.086,13.748
Emberbloom-24,foundry,51.572,20.837,16.247,5.831,41.144,37.574,13.872
Emberbloom-25,foundry,62.619,18.447,21.753,4.327,55.06,39.825,20.291
Emberbloom-26,foundry,56.452,21.878,19.297,6.888,50.705,37.927,15.318
Emberbloom-27,foundry,60.998,13.88,16.156,6.809,36.021,33.806,15.223
Emberbloom-28,foundry,47.681,19.168,15.284,6.335,33.49,48.476,11.429
Emberbloom-29,foundry,58.589,18.915,18.391,6.325,48.853,43.33,19.126
Emberbloom-30,foundry,63.036,17.307,20.417,6.34,42.85,43.691,14.565
Emberbloom-31,foundry,68.409,20.618,22.519,5.715,45.687,46.293,16.912
Emberbloom-32,foundry,58.632,22.679,20.039,5.998,49.729,40.698,17.746
Emberbloom-33,foundry,51.088,17.095,20.02,6.22,51.979,35.536,17.732
Emberbloom-34,foundry,54.401,22.714,17.336,6.194,44.933,33.108,19.273
Emberbloom-35,foundry,64.235,15.834,23.954,6.325,51.86,35.423,16.446
Emberbloom-36,foundry,60.219,18.199,18.221,6.011,46.599,32.423,17.903
Emberbloom-37,foundry,60.898,13.481,19.711,4.672,51.697,34.277,19.816
Emberbloom-38,foundry,53.426,17.028,20.832,5.346,45.874,38.156,18.284
Emberbloom-39,foundry,50.692,20.481,19.177,6.446,44.299,40.018,19.743
Emberbloom-40,foundry,58.644,27.403,16.322,6.161,47.952,43.383,18.976
Emberbloom-41,foundry,54.784,25.84,19.394,5.151,55.325,31.006,22.032
