specimen_id,ingredient,kind,potency,bitterness,aroma_intensity,volatility,luminance,pigment,resin_content,moisture,ash_weight
DI-033,Moonwort II,herb,45.1,37.2,50.0,18.8,11.3,63.0,11.89,49.2,16.75
DI-132,Stagshell,beetle,85.9,43.1,44.5,33.8,17.8,43.0,20.23,46.2,12.07
DI-043,Devilsbit II,herb,32.1,33.8,23.9,13.8,19.6,51.0,9.76,48.2,9.96
DI-024,Hexflower,herb,38.5,50.8,11.3,12.1,20.9,59.0,14.68,58.6,13.45
DI-063,Moonwort III,herb,34.3,33.7,34.1,9.8,33.0,59.0,20.63,45.3,4.22
DI-003,Moonwort,herb,21.7,29.5,18.8,33.0,36.3,41.0,24.4,58.3,13.95
DI-103,Gravecowl II,mushroom,50.8,40.6,30.5,33.7,69.4,53.0,21.08,54.1,13.34
DI-095,Wispcap,mushroom,54.8,48.5,44.7,22.0,61.4,80.0,24.49,47.4,14.79
DI-001,Nightshade,herb,37.7,17.7,31.3,19.3,23.6,52.0,22.15,38.9,11.67
DI-208,Yewroot,root,54.4,30.7,30.5,17.4,26.4,53.0,17.89,45.2,7.7
DI-154,Cryptshell,beetle,79.7,36.4,42.0,31.3,15.0,59.0,14.75,30.9,8.72
DI-040,Feverfew II,herb,29.3,21.3,25.7,14.0,27.8,58.0,11.61,54.5,10.77
DI-197,Ironbulb,root,43.1,20.6,39.2,12.1,19.2,43.0,10.78,45.1,12.3
DI-222,Dawnbulb II,root,57.2,34.3,18.4,23.6,32.3,57.0,17.18,67.2,13.05
DI-062,Wolfsbane III,herb,35.5,37.5,23.9,23.2,31.3,70.0,23.62,50.6,16.94
DI-149,Rustweevil,beetle,72.6,40.9,50.7,29.2,25.2,50.0,16.15,43.7,9.67
DI-156,Gildedborer,beetle,81.6,57.5,46.8,28.2,39.5,57.0,15.65,55.3,14.74
DI-088,Barrowbolete,mushroom,56.4,44.3,24.8,29.7,73.5,77.0,24.49,51.5,11.03
DI-203,Quagroot,root,58.7,44.9,48.5,25.5,21.8,59.0,12.96,31.6,12.87
DI-123,Palecrown II,mushroom,55.4,44.6,35.1,28.9,63.1,75.0,23.97,49.3,17.38
DI-137,Coppershell,beetle,90.8,41.1,47.7,20.4,23.5,78.0,18.47,26.7,10.4
DI-066,Mugwort III,herb,34.2,36.0,19.4,6.4,31.2,53.0,20.9,45.7,6.83
DI-201,Nightbulb,root,49.4,46.3,31.1,34.3,29.2,65.0,25.28,40.2,12.52
DI-151,Tombscarab,beetle,89.8,65.7,42.7,26.9,34.1,38.0,14.49,49.6,13.63
DI-153,Wyrmbeetle,beetle,94.5,24.2,34.5,28.5,22.7,62.0,19.3,33.5,8.95
DI-160,Emberback II,beetle,74.4,42.3,39.7,24.5,10.0,46.0,5.79,52.1,9.27
