job,entry_height_m,tool_score,approach_min,entry_hour,minutes_inside,days_to_surface,lot_size,recut_score,ports_used,haul_value_gbp
Thalberg Opera House,0.39,7.06,3.1,1.38,159.0,16.4,6.92,1.53,3.33,2570
Carlisle Terrace,1.09,6.93,3.0,1.42,14.4,89.0,2.15,7.57,1.3,22610
Dorney Court,0.4,8.01,2.3,1.32,26.6,13.4,5.58,2.24,3.09,24610
Ely Place,0.94,7.66,3.5,1.58,175.1,2.1,6.02,2.23,3.08,82700
Fitzharris House,0.91,6.42,2.2,1.73,22.9,11.3,6.66,2.11,3.66,3420
Gorsemoor Lodge,0.37,8.14,3.0,1.34,18.9,80.9,0.82,8.42,1.32,20430
Ilchester Rooms,0.94,6.77,3.0,2.03,94.5,11.9,6.42,2.23,3.13,990
Jermyn Chambers,1.36,7.32,4.0,0.83,103.6,87.2,2.35,7.01,0.98,22870
Kelvedon Hall,0.69,7.44,3.2,1.44,28.2,9.1,6.5,2.08,3.24,78850
Ladbroke Crescent,0.7,7.42,2.6,1.3,163.0,15.3,5.92,1.89,3.32,1690
Marchmont House,0.72,7.17,3.6,1.5,75.7,6.4,6.44,1.45,2.83,75230
Newbold Grange,1.56,7.91,3.1,1.58,25.2,16.5,7.39,1.92,2.95,4450
Oriel Court,1.14,7.28,3.3,1.49,26.0,4.4,6.68,1.73,3.29,1750
Pemberley Row,0.41,8.28,2.9,1.51,26.9,8.3,6.76,1.11,3.35,73110
Quennell House,1.35,7.56,3.2,1.66,155.1,14.8,6.76,2.65,2.77,69990
Ravenscroft Lodge,0.49,7.52,2.3,2.0,159.4,11.0,5.73,2.09,3.38,68660
Southwold Villa,0.57,7.13,1.8,1.68,95.7,12.5,6.53,2.16,2.75,1330
Thurloe Square,0.25,8.28,3.6,1.66,100.0,10.8,6.21,2.07,2.93,20810
Belgrave Mews,7.57,2.66,11.8,6.03,34.6,6.9,6.53,1.92,3.38,85430
Uxbridge Rooms,7.04,1.62,12.0,5.8,27.1,6.3,6.72,2.34,3.17,25520
Vane Street,8.49,1.66,11.0,5.17,177.7,11.6,5.88,1.87,3.2,21440
Wetherby Gardens,8.32,1.88,10.6,5.54,90.0,18.9,6.73,1.92,3.11,3000
Yoxall House,7.32,1.86,10.9,5.17,166.4,18.1,7.26,1.84,3.55,2290
Aldwick Court,7.1,1.82,9.8,5.71,176.4,13.5,6.47,1.03,3.63,3050
Bramfield Place,7.82,1.64,10.7,5.03,85.5,8.9,5.63,2.67,3.69,2190
Cadogan Rise,8.51,1.93,10.6,5.06,167.5,16.2,6.7,1.83,3.55,23670
Denholm House,7.72,1.71,10.0,5.39,19.1,14.1,5.71,1.35,2.99,24990
Edgeworth Hall,6.97,2.11,11.7,5.81,33.6,12.0,5.92,2.5,3.05,81450
Fernacre Lodge,7.69,2.61,10.5,5.32,100.9,19.5,5.64,2.4,2.74,87420
Glenfield Terrace,7.94,1.54,11.2,5.55,169.5,14.0,6.57,0.77,3.11,24610
Hurstbourne Court,7.52,2.51,11.4,5.77,29.4,7.2,6.33,1.6,2.95,2200
Inverleith Row,3.54,5.38,6.3,2.23,163.8,81.7,2.26,7.16,1.1,29600
Jesmond House,3.98,5.76,6.2,2.88,20.9,82.8,2.11,7.04,1.2,83290
Kirtling Chambers,3.65,4.81,5.8,3.45,157.7,92.2,2.35,8.65,1.1,90280
Lyndhurst Gate,3.65,4.83,6.4,3.42,94.1,45.7,8.95,0.86,1.14,3360
Merrion Villa,3.66,4.94,6.2,3.09,32.8,15.1,6.09,3.05,2.9,82190
Nettlebed House,3.62,5.33,6.9,3.31,31.5,83.5,1.74,8.15,0.9,82710
Orsett Terrace,2.63,4.58,6.7,3.14,170.9,86.5,2.83,8.48,0.78,80760
Pelham Crescent,3.83,4.66,5.0,2.71,166.8,76.2,1.95,7.54,0.92,3300
Quarrendon Hall,3.37,4.63,5.7,2.9,83.7,86.8,2.09,9.05,1.16,26080
Rothbury Court,3.64,4.0,5.4,3.06,169.1,75.8,1.64,8.04,1.26,2470
Selmeston House,3.51,5.39,7.2,3.27,95.1,76.8,2.25,8.23,1.11,77010
Harkness Gallery,8.98,6.42,5.1,6.44,74.7,82.0,2.0,8.93,0.96,3250
Tregarne Lodge,10.4,6.43,3.6,6.57,85.1,82.7,2.09,8.49,1.47,4060
Ullswater Rooms,9.05,6.13,5.1,6.32,157.7,85.6,1.84,8.37,1.25,30140
Verulam Place,10.33,6.37,3.2,6.53,94.1,85.6,2.3,7.88,1.29,75720
Wilbraham House,9.65,6.17,4.3,6.8,179.9,87.4,1.63,7.71,1.1,66810
Xanthe Court,10.0,6.58,3.4,6.43,107.8,46.1,8.75,0.76,1.15,71750
Yardley Grange,9.72,6.16,4.5,7.2,90.6,80.3,1.71,7.42,1.07,54860
Zennor House,9.28,6.64,4.5,6.92,30.9,85.4,2.44,8.52,1.12,23720
Ashcombe Villa,9.82,6.37,3.9,6.96,93.6,87.3,2.01,8.13,1.05,67850
Beckington Hall,10.48,6.7,4.0,6.44,29.4,85.5,2.14,8.44,1.23,530
Ardsley Strongroom,1.5,0.94,13.6,0.06,89.7,53.0,9.23,0.55,1.11,95000
Chalfont Rooms,1.46,0.83,13.1,0.83,167.3,49.4,8.33,0.79,1.4,17810
Duffield Court,1.88,1.3,13.6,0.23,96.2,47.2,7.92,1.41,1.0,3390
Elveden Lodge,1.18,1.13,11.7,0.67,92.3,43.7,7.9,0.88,1.29,3290
Framlingham House,1.68,0.77,13.2,1.3,27.3,46.6,9.17,0.2,1.12,71550
Garsington Row,1.25,1.0,13.2,0.77,36.2,82.8,2.45,8.25,1.2,87440
Halesworth Court,1.5,1.07,12.7,0.54,101.7,45.1,9.02,1.53,1.15,84510
Ickworth Place,1.38,0.55,12.1,0.55,161.4,41.3,8.64,1.19,1.12,23060
