phial,clarity,mineral,resin,ash,weight
Jasper,78.18,16.03,70.24,30.36,758
Selenite,72.63,19.06,64.93,26.09,4140
Bloodstone,30.44,68.81,33.44,70.48,3521
Alabaster,25.3,77.31,29.24,72.73,7005
Onyx,78.03,17.52,71.96,26.43,1545
Cobalt,49.21,40.54,19.95,38.23,4061
Azurite,24.87,78.54,27.67,69.55,5517
Chrysolite,47.68,44.22,23.6,44.58,8434
Lodestone,22.43,83.0,33.05,65.2,4912
Amber,80.0,21.19,68.9,21.44,3664
Nacre,54.66,47.61,19.9,42.67,7430
Realgar,25.63,74.25,19.93,67.85,4952
Antimony,48.29,43.79,21.41,39.52,1662
Serpentine,44.71,41.82,22.59,32.03,544
Electrum,48.64,49.21,19.98,42.33,621
Galena,25.44,75.26,25.1,70.3,6311
Vermilion,48.15,44.61,25.03,42.76,6900
Malachite,21.09,71.76,34.24,66.77,3426
Basalt,49.73,47.67,25.75,37.3,8228
Orpiment,24.81,75.45,23.88,68.09,7919
Ochre,48.69,43.53,19.0,46.09,7389
Cinnabar,80.42,16.28,69.88,27.78,8721
Verdigris,74.62,18.17,62.4,19.84,6091
Obsidian,50.81,43.15,20.51,35.25,1784
