doc_id,describer,entry,position,token
J01,Hosken,1,1,entry
J01,Hosken,1,2,on
J01,Hosken,1,3,the
J01,Hosken,1,4,nightjar
J01,Hosken,1,5,.
J01,Hosken,1,6,bill
J01,Hosken,1,7,heavy
J01,Hosken,1,8,","
J01,Hosken,1,9,culmen
J01,Hosken,1,10,slender
J01,Hosken,1,11,.
J01,Hosken,1,12,plumage
J01,Hosken,1,13,above
J01,Hosken,1,14,olive
J01,Hosken,1,15,","
J01,Hosken,1,16,below
J01,Hosken,1,17,fulvous
J01,Hosken,1,18,.
J01,Hosken,1,19,the
J01,Hosken,1,20,female
J01,Hosken,1,21,above
J01,Hosken,1,22,olive
J01,Hosken,1,23,","
J01,Hosken,1,24,below
J01,Hosken,1,25,olive
J01,Hosken,1,26,.
J01,Hosken,1,27,frequents
J01,Hosken,1,28,the
J01,Hosken,1,29,scrub
J01,Hosken,1,30,of
J01,Hosken,1,31,the
J01,Hosken,1,32,eastern
J01,Hosken,1,33,slope
J01,Hosken,1,34,.
J01,Hosken,1,35,call
J01,Hosken,1,36,a
J01,Hosken,1,37,churring
J01,Hosken,1,38,note
J01,Hosken,1,39,repeated
J01,Hosken,1,40,five
J01,Hosken,1,41,times
J01,Hosken,1,42,.
J01,Hosken,1,43,taken
J01,Hosken,1,44,in
J01,Hosken,1,45,the
J01,Hosken,1,46,drought
J01,Hosken,1,47,.
J01,Hosken,2,1,entry
J01,Hosken,2,2,on
J01,Hosken,2,3,the
J01,Hosken,2,4,sunbird
J01,Hosken,2,5,.
J01,Hosken,2,6,bill
J01,Hosken,2,7,deep
J01,Hosken,2,8,","
J01,Hosken,2,9,culmen
J01,Hosken,2,10,keeled
J01,Hosken,2,11,.
J01,Hosken,2,12,plumage
J01,Hosken,2,13,above
J01,Hosken,2,14,ashen
J01,Hosken,2,15,","
J01,Hosken,2,16,below
J01,Hosken,2,17,dusky
J01,Hosken,2,18,.
J01,Hosken,2,19,the
J01,Hosken,2,20,female
J01,Hosken,2,21,above
J01,Hosken,2,22,olive
J01,Hosken,2,23,","
J01,Hosken,2,24,below
J01,Hosken,2,25,ochre
J01,Hosken,2,26,.
J01,Hosken,2,27,frequents
J01,Hosken,2,28,the
J01,Hosken,2,29,reedbed
J01,Hosken,2,30,of
J01,Hosken,2,31,the
J01,Hosken,2,32,western
J01,Hosken,2,33,slope
J01,Hosken,2,34,.
J01,Hosken,2,35,call
J01,Hosken,2,36,a
J01,Hosken,2,37,rasping
J01,Hosken,2,38,note
J01,Hosken,2,39,repeated
J01,Hosken,2,40,three
J01,Hosken,2,41,times
J01,Hosken,2,42,.
J01,Hosken,2,43,taken
J01,Hosken,2,44,in
J01,Hosken,2,45,the
J01,Hosken,2,46,rains
J01,Hosken,2,47,.
J01,Hosken,3,1,entry
J01,Hosken,3,2,on
J01,Hosken,3,3,the
J01,Hosken,3,4,coucal
J01,Hosken,3,5,.
J01,Hosken,3,6,bill
J01,Hosken,3,7,heavy
J01,Hosken,3,8,","
J01,Hosken,3,9,culmen
J01,Hosken,3,10,ridged
J01,Hosken,3,11,.
J01,Hosken,3,12,plumage
J01,Hosken,3,13,above
J01,Hosken,3,14,olive
J01,Hosken,3,15,","
J01,Hosken,3,16,below
J01,Hosken,3,17,rufous
J01,Hosken,3,18,.
J01,Hosken,3,19,the
J01,Hosken,3,20,female
J01,Hosken,3,21,above
J01,Hosken,3,22,fulvous
J01,Hosken,3,23,","
J01,Hosken,3,24,below
J01,Hosken,3,25,olive
J01,Hosken,3,26,.
J01,Hosken,3,27,frequents
J01,Hosken,3,28,the
J01,Hosken,3,29,thicket
J01,Hosken,3,30,of
J01,Hosken,3,31,the
J01,Hosken,3,32,western
J01,Hosken,3,33,slope
J01,Hosken,3,34,.
J01,Hosken,3,35,call
J01,Hosken,3,36,a
J01,Hosken,3,37,churring
J01,Hosken,3,38,note
J01,Hosken,3,39,repeated
J01,Hosken,3,40,three
J01,Hosken,3,41,times
J01,Hosken,3,42,.
J01,Hosken,3,43,the
J01,Hosken,3,44,iris
J01,Hosken,3,45,pale
J01,Hosken,3,46,in
J01,Hosken,3,47,every
J01,Hosken,3,48,specimen
J01,Hosken,3,49,handled
J01,Hosken,3,50,.
J01,Hosken,3,51,taken
J01,Hosken,3,52,in
J01,Hosken,3,53,the
J01,Hosken,3,54,rains
J01,Hosken,3,55,.
J01,Hosken,4,1,entry
J01,Hosken,4,2,on
J01,Hosken,4,3,the
J01,Hosken,4,4,drongo
J01,Hosken,4,5,.
J01,Hosken,4,6,bill
J01,Hosken,4,7,deep
J01,Hosken,4,8,","
J01,Hosken,4,9,culmen
J01,Hosken,4,10,curved
J01,Hosken,4,11,.
J01,Hosken,4,12,plumage
J01,Hosken,4,13,above
J01,Hosken,4,14,olive
J01,Hosken,4,15,","
J01,Hosken,4,16,below
J01,Hosken,4,17,rufous
J01,Hosken,4,18,.
J01,Hosken,4,19,the
J01,Hosken,4,20,female
J01,Hosken,4,21,above
J01,Hosken,4,22,rufous
J01,Hosken,4,23,","
J01,Hosken,4,24,below
J01,Hosken,4,25,cinereous
J01,Hosken,4,26,.
J01,Hosken,4,27,frequents
J01,Hosken,4,28,the
J01,Hosken,4,29,thicket
J01,Hosken,4,30,of
J01,Hosken,4,31,the
J01,Hosken,4,32,southern
J01,Hosken,4,33,slope
J01,Hosken,4,34,.
J01,Hosken,4,35,call
J01,Hosken,4,36,a
J01,Hosken,4,37,churring
J01,Hosken,4,38,note
J01,Hosken,4,39,repeated
J01,Hosken,4,40,five
J01,Hosken,4,41,times
J01,Hosken,4,42,.
J01,Hosken,4,43,taken
J01,Hosken,4,44,in
J01,Hosken,4,45,the
J01,Hosken,4,46,rains
J01,Hosken,4,47,.
J01,Hosken,5,1,entry
J01,Hosken,5,2,on
J01,Hosken,5,3,the
J01,Hosken,5,4,cisticola
J01,Hosken,5,5,.
J01,Hosken,5,6,bill
J01,Hosken,5,7,stout
J01,Hosken,5,8,","
J01,Hosken,5,9,culmen
J01,Hosken,5,10,slender
J01,Hosken,5,11,.
J01,Hosken,5,12,plumage
J01,Hosken,5,13,above
