spring,fork,carbonate,sulfate,chloride,silica,iron_oxide,salts
Dripstone,West_Fork,66,8,5,11,5,5
Palegate,West_Fork,63,9,6,12,5,5
Lime_Hollow,West_Fork,68,7,4,11,5,5
Chalkseep,West_Fork,64,8,5,13,5,5
Bitterwell,West_Fork,11,60,8,10,7,4
Brimstone_Font,East_Fork,10,62,8,10,6,4
Sulphur_Step,East_Fork,12,59,9,10,6,4
Cinderpool,East_Fork,9,63,7,11,6,4
Matchhead_Spring,East_Fork,11,61,8,9,7,4
Glasswater,North_Branch,8,8,6,63,10,5
Flintrun,North_Branch,9,7,6,62,11,5
Obsidian_Weep,North_Branch,7,9,5,64,10,5
Silverglass,North_Branch,8,8,7,61,11,5
Saltglass,North_Branch,7,7,44,9,5,28
Brineseep,South_Branch,6,8,45,8,5,28
Saltmouth,South_Branch,7,7,44,8,6,28
Tidewell,South_Branch,5,9,46,7,5,28
Pillar_Brine,South_Branch,6,8,43,9,6,28
