embankment,height_ft,clay_depth_in,tree_cover_pct,age_years,years_since_repair,crest_width_ft,seepage_gph,breached
Barrowby,36.6,16.9,39.1,93.0,31.0,13.4,13.44,1
Marle_Green,18.2,21.4,54.1,77.0,2.0,12.9,14.38,1
Foxholes,24.7,23.0,32.0,150.0,7.0,11.5,10.36,1
Netherby,25.0,18.3,16.1,79.0,1.0,12.8,6.72,0
Cold_Harbour,28.1,17.8,37.2,88.0,13.0,12.3,12.07,1
Windle_Brook,29.3,19.1,11.2,101.0,25.0,13.0,9.7,0
Tarn_Moss,11.2,23.5,29.4,115.0,4.0,13.6,9.11,0
Hollinsend,17.1,24.2,29.2,97.0,1.0,13.8,9.34,0
Ryeflatt,13.5,25.5,40.8,111.0,9.0,12.6,9.13,0
Dunsop,29.3,16.4,20.4,118.0,28.0,10.6,11.97,1
Kelbrook,22.0,18.1,24.8,105.0,4.0,12.3,8.88,1
Thornage,25.4,17.5,53.7,88.0,9.0,13.3,15.4,1
Braithwell,31.6,15.1,11.8,116.0,8.0,13.7,10.09,1
Sowerby,28.0,17.9,37.5,71.0,15.0,12.7,9.87,1
Ellerton,34.1,17.2,59.1,98.0,3.0,10.4,17.45,1
Ganthorpe,34.6,13.1,18.3,83.0,11.0,12.7,9.3,1
Padgate,13.9,21.2,18.2,89.0,20.0,14.9,9.89,1
Wharram,31.7,16.6,23.0,92.0,10.0,13.8,10.97,1
Stanlow,28.5,16.2,52.5,82.0,15.0,12.0,15.11,1
Rushton,28.0,18.4,64.6,61.0,13.0,15.0,17.28,1
Aldercar,15.6,24.8,24.9,88.0,35.0,13.5,10.8,0
Bickerstaffe,23.6,17.7,29.5,53.0,5.0,11.4,10.89,1
Wetheral,27.0,20.4,18.4,92.0,4.0,13.0,6.48,0
Cropwell,24.0,19.4,31.7,107.0,22.0,12.6,11.01,1
Hemsworth,11.1,25.4,55.1,150.0,17.0,10.9,12.44,1
Lostock,22.4,19.7,24.9,118.0,17.0,9.4,8.7,1
Trentham,22.9,17.2,29.5,137.0,47.0,12.9,12.66,1
Bosley,23.5,21.2,39.1,75.0,4.0,15.6,10.11,0
Wormleighton,18.6,22.0,28.6,74.0,5.0,14.8,9.45,1
Marsworth,11.2,27.9,35.5,90.0,27.0,16.7,11.96,1
Gayton,19.3,26.1,17.4,67.0,11.0,11.9,8.1,0
Braunston,7.1,27.5,36.4,71.0,4.0,12.2,9.59,0
Blisworth,27.1,12.1,22.5,85.0,6.0,12.3,12.47,1
Crick,21.5,19.1,37.4,87.0,7.0,12.4,11.02,0
Foxton,14.4,26.1,46.3,64.0,5.0,14.2,11.09,0
Watford_Gap,15.5,23.1,25.5,110.0,3.0,14.7,7.79,0
Norton,29.6,11.7,39.6,101.0,15.0,11.2,15.13,1
Weedon,6.0,30.5,43.6,76.0,22.0,11.6,10.08,0
Stoke_Bruerne,27.6,19.3,16.8,64.0,2.0,13.7,9.14,0
Cosgrove,23.7,17.1,41.9,86.0,9.0,13.5,12.81,1
Grafton,45.0,9.1,35.1,111.0,10.0,10.3,13.86,1
Yardley,11.6,28.1,53.3,97.0,6.0,14.3,13.29,1
Knowle,16.1,25.6,40.9,45.0,17.0,13.9,11.7,0
Lapworth,16.7,24.7,10.0,85.0,6.0,11.7,4.99,0
Kingswood,18.4,21.7,36.0,82.0,25.0,12.3,11.89,1
Hatton,14.4,26.2,43.6,131.0,4.0,13.2,9.24,1
Shrewley,22.4,19.7,26.3,66.0,7.0,13.8,10.24,1
Rowington,15.1,25.2,23.4,62.0,19.0,13.0,9.22,0
Baddesley,21.0,24.2,1.2,82.0,1.0,13.6,3.73,0
Atherstone,35.5,15.0,22.0,138.0,3.0,9.7,11.35,1
Nuneaton,17.8,16.8,38.2,114.0,14.0,12.4,12.03,1
Hartshill,14.0,24.6,14.4,103.0,21.0,10.8,7.95,0
Polesworth,21.9,21.6,22.6,85.0,19.0,15.8,7.37,0
Alvecote,30.0,17.6,30.0,102.0,8.0,10.5,9.81,1
Fazeley,8.8,23.3,64.6,105.0,9.0,15.3,16.26,1
Curdworth,23.0,19.8,41.0,99.0,3.0,12.0,11.94,1
Minworth,27.7,21.9,38.4,123.0,7.0,13.5,8.54,0
Tyburn,25.7,19.3,5.8,113.0,21.0,11.2,6.14,0
Salford_Bridge,32.0,17.3,11.2,104.0,3.0,12.9,8.17,1
Aston_Junction,10.0,26.6,22.2,133.0,31.0,13.7,7.29,0
