origin,destination,dispatches
Blackmere,Coldgate,268
Blackmere,Harrowfoot,403
Blackmere,Kingsmuster,1858
Blackmere,Ninebarrow,319
Blackmere,Ravensgap,179
Blackmere,Steepford,264
Blackmere,Tolder,182
Coldgate,Blackmere,263
Coldgate,Harrowfoot,351
Coldgate,Kingsmuster,2110
Coldgate,Ninebarrow,246
Coldgate,Ravensgap,274
Coldgate,Steepford,253
Coldgate,Tolder,292
Coldgate,Whistlegate,221
Draymoor,Ellerdon,343
Draymoor,Fenwatch,86
Draymoor,Grimsyke,201
Draymoor,Hollowmark,281
Draymoor,Marlditch,280
Draymoor,Ossfell,264
Draymoor,Pikestone,267
Draymoor,Slatecrag,233
Draymoor,Thornbeck,265
Draymoor,Windrell,271
Ellerdon,Draymoor,328
Ellerdon,Fenwatch,91
Ellerdon,Grimsyke,252
Ellerdon,Hollowmark,309
Ellerdon,Marlditch,228
Ellerdon,Ossfell,135
Ellerdon,Pikestone,262
Ellerdon,Slatecrag,275
Ellerdon,Thornbeck,194
Ellerdon,Windrell,109
Fenwatch,Draymoor,551
Fenwatch,Ellerdon,597
Fenwatch,Grimsyke,525
Fenwatch,Hollowmark,580
Fenwatch,Marlditch,586
Fenwatch,Ossfell,597
Fenwatch,Pikestone,719
Fenwatch,Slatecrag,683
Fenwatch,Thornbeck,623
Fenwatch,Windrell,622
Grimsyke,Draymoor,192
Grimsyke,Ellerdon,216
Grimsyke,Fenwatch,59
Grimsyke,Hollowmark,301
Grimsyke,Marlditch,347
Grimsyke,Ossfell,218
Grimsyke,Pikestone,188
Grimsyke,Slatecrag,123
Grimsyke,Thornbeck,250
Grimsyke,Windrell,229
Harrowfoot,Blackmere,347
Harrowfoot,Coldgate,355
Harrowfoot,Kingsmuster,2423
Harrowfoot,Ninebarrow,317
Harrowfoot,Ravensgap,358
Harrowfoot,Steepford,255
Harrowfoot,Tolder,257
Harrowfoot,Whistlegate,176
Hollowmark,Draymoor,258
Hollowmark,Ellerdon,255
Hollowmark,Fenwatch,95
Hollowmark,Grimsyke,325
Hollowmark,Marlditch,203
Hollowmark,Ossfell,215
Hollowmark,Pikestone,257
Hollowmark,Slatecrag,261
Hollowmark,Thornbeck,206
Hollowmark,Windrell,230
Kingsmuster,Blackmere,2269
Kingsmuster,Coldgate,1971
Kingsmuster,Harrowfoot,1514
Kingsmuster,Ninebarrow,1958
Kingsmuster,Ravensgap,1825
Kingsmuster,Steepford,1844
Kingsmuster,Tolder,1914
Marlditch,Draymoor,271
Marlditch,Ellerdon,211
Marlditch,Fenwatch,77
Marlditch,Grimsyke,348
Marlditch,Hollowmark,166
Marlditch,Ossfell,256
Marlditch,Pikestone,331
Marlditch,Slatecrag,143
Marlditch,Thornbeck,260
Marlditch,Windrell,309
Ninebarrow,Blackmere,308
Ninebarrow,Coldgate,288
Ninebarrow,Harrowfoot,330
Ninebarrow,Kingsmuster,1907
Ninebarrow,Ravensgap,319
Ninebarrow,Steepford,321
Ninebarrow,Tolder,191
Ninebarrow,Whistlegate,139
Ossfell,Draymoor,226
Ossfell,Ellerdon,145
Ossfell,Fenwatch,73
Ossfell,Grimsyke,189
Ossfell,Hollowmark,201
Ossfell,Marlditch,285
Ossfell,Pikestone,317
Ossfell,Slatecrag,225
Ossfell,Slatecrag,3150
Ossfell,Thornbeck,258
Ossfell,Whistlegate,119
Ossfell,Windrell,277
Pikestone,Draymoor,322
Pikestone,Ellerdon,270
Pikestone,Fenwatch,86
Pikestone,Grimsyke,168
Pikestone,Hollowmark,247
Pikestone,Marlditch,334
Pikestone,Ossfell,373
Pikestone,Slatecrag,152
Pikestone,Thornbeck,362
Pikestone,Windrell,320
Ravensgap,Blackmere,232
Ravensgap,Coldgate,312
Ravensgap,Harrowfoot,342
Ravensgap,Kingsmuster,1619
Ravensgap,Ninebarrow,318
Ravensgap,Steepford,210
Ravensgap,Tolder,263
Slatecrag,Draymoor,231
Slatecrag,Ellerdon,274
Slatecrag,Fenwatch,91
Slatecrag,Grimsyke,132
Slatecrag,Hollowmark,239
Slatecrag,Marlditch,140
Slatecrag,Ossfell,187
Slatecrag,Ossfell,3400
Slatecrag,Pikestone,147
Slatecrag,Thornbeck,317
Slatecrag,Whistlegate,146
Slatecrag,Windrell,252
Steepford,Blackmere,192
Steepford,Coldgate,225
Steepford,Harrowfoot,207
Steepford,Kingsmuster,1775
Steepford,Ninebarrow,344
Steepford,Ravensgap,227
Steepford,Tolder,272
Steepford,Whistlegate,156
Thornbeck,Draymoor,250
Thornbeck,Ellerdon,228
Thornbeck,Fenwatch,78
Thornbeck,Grimsyke,237
Thornbeck,Hollowmark,195
Thornbeck,Marlditch,286
Thornbeck,Ossfell,236
Thornbeck,Pikestone,319
Thornbeck,Slatecrag,345
Thornbeck,Whistlegate,119
Thornbeck,Windrell,267
Tolder,Blackmere,188
Tolder,Coldgate,235
Tolder,Harrowfoot,223
Tolder,Kingsmuster,2128
Tolder,Ninebarrow,189
Tolder,Ravensgap,282
Tolder,Steepford,270
Whistlegate,Coldgate,122
Whistlegate,Harrowfoot,100
Whistlegate,Ninebarrow,140
Whistlegate,Ossfell,128
Whistlegate,Slatecrag,137
Whistlegate,Steepford,182
Whistlegate,Thornbeck,116
Whistlegate,Windrell,178
Windrell,Draymoor,245
Windrell,Ellerdon,92
Windrell,Fenwatch,70
Windrell,Grimsyke,248
Windrell,Hollowmark,264
Windrell,Marlditch,277
Windrell,Ossfell,285
Windrell,Pikestone,274
Windrell,Slatecrag,249
Windrell,Thornbeck,249
Windrell,Whistlegate,123
