lichen_isolate,gene_id,expression,expression_normalized
S001,XAN_1192,71.1,0.084266
S002,XAN_1192,72.1,0.293934
S003,XAN_1192,72.6,1.022918
S004,XAN_1192,70.4,-1.075723
S005,XAN_1192,70.3,-0.805165
S006,XAN_1192,72.2,0.816513
S007,XAN_1192,72.1,0.469839
S008,XAN_1192,72.7,0.792812
S009,XAN_1192,70.5,-0.827185
S010,XAN_1192,71.7,0.313954
S011,XAN_1192,70.9,-1.607975
S012,XAN_1192,70.1,-1.416552
S013,XAN_1192,71.2,0.392334
S014,XAN_1192,72.3,0.435971
S015,XAN_1192,72,0.782479
S016,XAN_1192,72.4,0.955066
S017,XAN_1192,72.4,0.883013
S018,XAN_1192,73.2,1.039206
S019,XAN_1192,70.9,-0.919389
S020,XAN_1192,72.5,1.006953
S021,XAN_1192,71.4,0.031664
S022,XAN_1192,72.4,0.696172
S023,XAN_1192,71.4,0.282702
S024,XAN_1192,71.9,0.567514
S025,XAN_1192,71.9,-0.056515
S026,XAN_1192,71.3,-0.102389
S027,XAN_1192,70.8,-0.499595
S028,XAN_1192,72.5,0.709311
S029,XAN_1192,71.5,0.059688
S030,XAN_1192,71.5,-0.196735
S031,XAN_1192,71,-0.547548
S032,XAN_1192,71.5,0.235229
S033,XAN_1192,71.1,0.029431
S034,XAN_1192,70.8,-0.404244
S035,XAN_1192,72.4,1.106559
S036,XAN_1192,71.7,0.009199
S037,XAN_1192,72.4,0.808469
S038,XAN_1192,71,0.047373
S039,XAN_1192,70.5,-0.882517
S040,XAN_1192,72.3,1.227028
S041,XAN_1192,72,1.577454
S042,XAN_1192,71.7,0.832225
S043,XAN_1192,72.2,0.375248
S044,XAN_1192,71.6,0.006094
S045,XAN_1192,72,-0.247693
S046,XAN_1192,73.3,0.812384
S047,XAN_1192,69.5,-1.26527
S048,XAN_1192,70.8,-0.577639
S049,XAN_1192,71.5,0.055224
S050,XAN_1192,71.2,-0.238941
S051,XAN_1192,71.2,0.120011
S052,XAN_1192,70.9,0.051084
S053,XAN_1192,70.8,0.098545
S054,XAN_1192,69.8,-1.583831
S055,XAN_1192,71.1,0.066639
S056,XAN_1192,72.2,0.768402
S057,XAN_1192,71,-0.70879
S058,XAN_1192,72.5,0.764647
S059,XAN_1192,72,0.046993
S060,XAN_1192,70.9,-0.72547
S061,XAN_1192,71,-0.145943
S062,XAN_1192,72.3,0.541135
S063,XAN_1192,70.5,-0.586855
S064,XAN_1192,70.5,-1.55796
S065,XAN_1192,71.4,-0.273181
S066,XAN_1192,69.4,-1.147511
S067,XAN_1192,72.8,1.201376
S068,XAN_1192,70.9,-0.590402
S069,XAN_1192,71.7,-0.068495
S070,XAN_1192,71.8,0.012484
S071,XAN_1192,71.6,0.312462
S072,XAN_1192,71.5,0.05178
S073,XAN_1192,71.4,0.088889
S074,XAN_1192,71.3,-0.067698
S075,XAN_1192,71,0.01701
S076,XAN_1192,70.9,-0.739889
S077,XAN_1192,72.2,1.062228
S078,XAN_1192,72.1,0.761661
S079,XAN_1192,70.2,-0.588197
S080,XAN_1192,72.2,0.149014
S081,XAN_1192,69.9,-1.081494
S082,XAN_1192,71.9,-0.021523
S083,XAN_1192,72,0.678423
S084,XAN_1192,72.2,0.108202
S085,XAN_1192,72.5,1.228016
S086,XAN_1192,72.3,0.621108
S087,XAN_1192,72.2,0.354957
S088,XAN_1192,71.6,0.169326
S089,XAN_1192,71.5,-0.08484
S090,XAN_1192,72.9,0.679724
S091,XAN_1192,71,-0.368461
S092,XAN_1192,72.1,0.062651
S093,XAN_1192,72.5,0.808945
S094,XAN_1192,73.9,1.179329
S095,XAN_1192,72.5,1.13775
S096,XAN_1192,70.9,-0.674763
S097,XAN_1192,70.1,-0.777288
S098,XAN_1192,70.4,-0.756578
S099,XAN_1192,70.9,-0.127331
S100,XAN_1192,72.3,0.838717
S101,XAN_1192,70.3,-1.649142
S102,XAN_1192,71,-0.363781
S103,XAN_1192,71.9,0.287807
S104,XAN_1192,68.9,-1.435547
S105,XAN_1192,71.1,-0.571025
S106,XAN_1192,72.7,1.101559
S107,XAN_1192,71.8,0.371299
S108,XAN_1192,72.9,0.716981
S109,XAN_1192,72.9,0.931366
S110,XAN_1192,70.9,-0.540166
S111,XAN_1192,71.8,-0.238622
S112,XAN_1192,71.4,-0.124999
S113,XAN_1192,71.9,0.063788
S114,XAN_1192,70.5,-1.039189
S115,XAN_1192,73.6,1.517415
S116,XAN_1192,73,1.073507
S117,XAN_1192,72.8,0.374362
S118,XAN_1192,72.3,0.702024
S119,XAN_1192,72.8,0.600427
S120,XAN_1192,71.2,-0.492948
S121,XAN_1192,73.6,1.356537
S122,XAN_1192,71,-0.58386
S123,XAN_1192,70.5,-0.615619
S124,XAN_1192,69.8,-1.461138
S125,XAN_1192,72.3,0.354573
S126,XAN_1192,70.8,-0.59122
S127,XAN_1192,70.8,-1.159857
S128,XAN_1192,69.7,-1.04973
S129,XAN_1192,71.3,0.002915
S130,XAN_1192,71.3,0.553133
S131,XAN_1192,71.5,0.377395
S132,XAN_1192,71,-0.148701
S133,XAN_1192,71.8,0.332316
S134,XAN_1192,69.9,-1.453342
S135,XAN_1192,72.6,0.369646
S136,XAN_1192,70.9,-0.598818
S137,XAN_1192,72.6,0.652194
S138,XAN_1192,71,-0.584621
S139,XAN_1192,70.8,-0.752888
S140,XAN_1192,70.6,-1.179684
S141,XAN_1192,71.6,-0.050662
S142,XAN_1192,71.8,0.711611
S143,XAN_1192,72.2,0.666618
S144,XAN_1192,69.3,-1.536189
S145,XAN_1192,70.6,-0.9152
S146,XAN_1192,69.8,-1.304509
S147,XAN_1192,71.5,0.352152
S148,XAN_1192,72.1,0.890789
S149,XAN_1192,70.4,-1.310909
S150,XAN_1192,70.2,-1.43111
S151,XAN_1192,72.4,0.62265
S152,XAN_1192,70.7,-0.833324
S153,XAN_1192,71.5,0.047544
S154,XAN_1192,73.8,1.164958
S155,XAN_1192,72.5,0.555918
S156,XAN_1192,71,-0.800539
S157,XAN_1192,72.7,0.251698
S158,XAN_1192,73.2,1.006036
S159,XAN_1192,71.6,0.559315
S160,XAN_1192,71.2,-0.482765
S161,XAN_1192,71,-0.613013
S162,XAN_1192,73,1.098056
S163,XAN_1192,71.6,0.809717
S164,XAN_1192,70.8,-0.24765
S165,XAN_1192,70.4,-0.943488
S166,XAN_1192,72.6,0.845518
S167,XAN_1192,71.3,0.1191
S168,XAN_1192,71.6,-0.209911
S169,XAN_1192,70.7,-0.469765
S170,XAN_1192,71.9,-0.047009
S171,XAN_1192,70.1,-0.725758
S172,XAN_1192,70.9,-0.619291
S173,XAN_1192,71.8,1.044647
S174,XAN_1192,71.2,0.096676
S175,XAN_1192,71.8,0.333085
S176,XAN_1192,70.9,-0.73385
S177,XAN_1192,69.3,-1.790464
S178,XAN_1192,71.7,-0.13079
S179,XAN_1192,70.4,-0.900452
S180,XAN_1192,70.8,-0.98052
S181,XAN_1192,71.3,-0.305047
S182,XAN_1192,71.4,-0.025054
S183,XAN_1192,70.2,-1.263497
S184,XAN_1192,70.3,-1.08923
S185,XAN_1192,73.4,1.411118
S186,XAN_1192,71.2,0.010347
S187,XAN_1192,70.5,-1.401831
S188,XAN_1192,73.9,1.04436
S189,XAN_1192,70.3,-1.371607
S190,XAN_1192,71.9,0.342086
S191,XAN_1192,71.8,0.170073
S192,XAN_1192,72.9,1.220493
S193,XAN_1192,70.9,-0.850326
S194,XAN_1192,73.9,1.047625
S195,XAN_1192,72.5,1.015843
S196,XAN_1192,71.4,0.418769
S197,XAN_1192,72.2,0.771997
S198,XAN_1192,72.4,0.457416
S199,XAN_1192,71,-0.651173
S200,XAN_1192,71.3,-0.2595
S001,XAN_1216,229.6,0.031316
S002,XAN_1216,230.7,0.380912
S003,XAN_1216,230.2,-0.115176
S004,XAN_1216,229.2,-0.79237
S005,XAN_1216,229.2,-0.405953
S006,XAN_1216,231,1.076034
S007,XAN_1216,230.6,0.428267
S008,XAN_1216,230.4,-0.296321
S009,XAN_1216,228.4,-1.468814
S010,XAN_1216,230.1,0.130429
S011,XAN_1216,229.9,-0.896542
S012,XAN_1216,228.9,-1.168607
S013,XAN_1216,229.9,0.625842
S014,XAN_1216,230.8,0.395237
S015,XAN_1216,230.4,0.617138
S016,XAN_1216,230.4,0.385145
S017,XAN_1216,230.6,0.558886
S018,XAN_1216,231.7,1.014071
S019,XAN_1216,229.3,-1.119978
S020,XAN_1216,230.7,0.602815
S021,XAN_1216,230.9,0.981132
S022,XAN_1216,230.7,0.473045
S023,XAN_1216,229.3,-0.447174
S024,XAN_1216,230.7,0.932762
S025,XAN_1216,230.3,-0.246199
S026,XAN_1216,230,0.077916
S027,XAN_1216,230,0.479694
S028,XAN_1216,230.5,-0.145084
S029,XAN_1216,229.7,-0.445983
S030,XAN_1216,229.6,-0.632702
S031,XAN_1216,229.8,-0.189882
S032,XAN_1216,230.5,0.888065
S033,XAN_1216,229.6,-0.034688
S034,XAN_1216,229.2,-0.618509
S035,XAN_1216,231.2,1.385948
S036,XAN_1216,230.5,0.281894
S037,XAN_1216,231.8,2.700157
S038,XAN_1216,229.3,-0.185097
