amphora_id,type,region,varietal,vintage,fixed_acidity,volatile_acidity,residual_sugar,chlorides,pH,sulphates,alcohol,quality_score
AMPH-0000,white,Kos,Helvola,-245,6.925,0.367,6.99,0.046,3.09,0.452,11.21,5.3
AMPH-0001,red,Chios,Eugenia,-246,8.018,0.469,1.19,0.098,3.45,0.626,10.65,7.08
AMPH-0002,red,Kos,Eugenia,-245,9.207,0.544,0.6,0.09,3.28,0.502,10.55,7.92
AMPH-0003,white,Chios,Apian,-245,6.942,0.411,4.99,0.054,3.39,0.429,11.13,6.85
AMPH-0004,white,Chios,Apian,-245,6.585,0.228,6.86,0.033,3.22,0.427,11.15,7.82
AMPH-0005,white,Kos,Apian,-247,6.704,0.331,6.62,0.039,3.0,0.357,10.88,8.47
AMPH-0006,white,Kos,Duracina,-247,8.116,0.265,7.25,0.044,3.1,0.515,9.82,5.32
AMPH-0007,red,Rhodes,Argitis,-247,7.936,0.517,2.17,0.099,3.36,0.765,14.31,4.53
AMPH-0008,white,Rhodes,Argitis,-247,7.505,0.279,5.89,0.05,3.22,0.307,13.93,5.05
AMPH-0009,red,Chios,Apian,-245,9.156,0.441,2.49,0.077,3.34,0.793,11.6,7.28
AMPH-0010,white,Rhodes,Eugenia,-247,7.133,0.28,5.35,0.05,2.98,0.448,10.37,7.36
AMPH-0011,red,Thasos,Argitis,-247,7.495,0.497,2.98,0.079,3.43,0.7,13.68,5.85
AMPH-0012,white,Rhodes,Apian,-246,6.287,0.202,7.14,0.046,3.21,0.512,11.57,8.11
AMPH-0013,white,Kos,Aminean,-247,6.261,0.256,7.65,0.053,3.18,0.471,11.45,8.34
AMPH-0014,red,Thasos,Duracina,-247,7.955,0.506,2.12,0.072,3.47,0.698,9.29,5.75
AMPH-0015,white,Chios,Apian,-247,6.764,0.235,6.72,0.051,3.05,0.37,11.84,7.85
AMPH-0016,white,Chios,Apian,-246,7.125,0.328,3.45,0.055,3.21,0.453,11.72,7.03
AMPH-0017,white,Chios,Apian,-247,7.147,0.237,4.67,0.034,3.11,0.426,11.63,7.77
AMPH-0018,white,Thasos,Eugenia,-247,6.3,0.31,7.51,0.036,3.14,0.552,10.79,8.21
AMPH-0019,red,Rhodes,Helvola,-246,8.56,0.485,2.84,0.097,3.44,0.712,11.77,4.97
AMPH-0020,white,Chios,Aminean,-247,7.07,0.233,7.32,0.074,3.17,0.386,12.26,7.75
AMPH-0021,red,Kos,Duracina,-247,7.609,0.542,0.86,0.071,3.27,0.737,10.38,5.41
AMPH-0022,red,Rhodes,Eugenia,-247,7.573,0.452,1.66,0.073,3.2,0.553,11.04,8.46
AMPH-0023,red,Kos,Duracina,-245,8.366,0.454,0.6,0.085,3.34,0.627,8.88,5.88
AMPH-0024,red,Kos,Argitis,-246,7.143,0.488,3.13,0.081,3.22,0.61,12.79,5.4
AMPH-0025,red,Chios,Eugenia,-246,8.312,0.474,2.88,0.085,3.24,0.622,10.64,7.81
AMPH-0026,red,Rhodes,Helvola,-247,7.512,0.478,1.58,0.098,3.24,0.549,11.62,5.64
AMPH-0027,white,Rhodes,Argitis,-247,7.763,0.293,5.29,0.017,3.25,0.258,13.81,5.25
AMPH-0028,red,Chios,Eugenia,-246,8.896,0.496,1.74,0.079,3.41,0.674,9.98,7.73
AMPH-0029,white,Chios,Eugenia,-245,7.396,0.252,5.47,0.062,3.21,0.351,10.4,7.97
AMPH-0030,white,Thasos,Duracina,-247,6.117,0.254,7.61,0.047,3.35,0.69,9.7,6.49
AMPH-0031,red,Thasos,Helvola,-245,7.947,0.56,1.0,0.084,3.35,0.738,11.46,6.05
AMPH-0032,white,Rhodes,Duracina,-247,7.13,0.321,6.0,0.041,3.17,0.518,10.25,5.46
AMPH-0033,white,Chios,Eugenia,-247,5.49,0.347,6.78,0.055,3.05,0.522,9.83,7.45
AMPH-0034,white,Chios,Aminean,-246,7.499,0.324,3.69,0.036,3.1,0.2,12.25,7.9
AMPH-0035,white,Chios,Argitis,-246,7.665,0.253,6.43,0.054,3.22,0.467,13.13,5.19
AMPH-0036,red,Kos,Helvola,-245,8.855,0.602,2.45,0.086,3.37,0.679,10.69,5.45
AMPH-0037,white,Thasos,Duracina,-246,6.686,0.317,5.48,0.054,3.16,0.45,9.53,6.81
AMPH-0038,white,Chios,Aminean,-246,7.324,0.268,8.45,0.06,3.03,0.368,12.94,7.89
AMPH-0039,white,Thasos,Argitis,-246,6.095,0.302,4.22,0.052,3.26,0.474,14.54,6.49
AMPH-0040,white,Kos,Apian,-247,6.498,0.274,9.01,0.03,3.2,0.501,11.59,7.83
AMPH-0041,white,Kos,Helvola,-246,7.234,0.207,7.59,0.047,3.25,0.573,10.4,5.31
AMPH-0042,white,Thasos,Argitis,-246,6.758,0.208,6.23,0.049,3.1,0.536,14.12,6.71
AMPH-0043,white,Chios,Eugenia,-247,6.928,0.237,6.04,0.049,3.3,0.282,10.08,7.5
AMPH-0044,white,Thasos,Duracina,-245,6.394,0.233,8.45,0.053,3.19,0.547,10.06,6.22
AMPH-0045,white,Kos,Eugenia,-247,6.309,0.252,5.9,0.04,3.33,0.387,10.34,7.88
