specimen_id,species,canopy_zone,vigor,crown_height_m,trunk_girth_cm,bark_glow,vitality_index
FX-0001,Thornlace,Sunspire Heights,Thriving,25.5,11.6,57.9,54.5
FX-0002,Glasszelkova,Sunspire Heights,Thriving,36.8,11.2,53.2,52.6
FX-0003,Thornlace,Cragside,Thriving,16.0,16.2,51.2,46.3
FX-0004,Emberoak,Mistfen Reach,Thriving,24.9,22.9,60.3,65.8
FX-0005,Glasszelkova,Sunspire Heights,Waning,27.1,9.5,28.6,49.5
FX-0006,Coralmaple,Cragside,Waning,32.0,23.5,16.5,70.8
FX-0007,Ghostplane,Sunspire Heights,Radiant,26.0,32.1,81.5,58.0
FX-0008,Goldfan Ginko,Cragside,Husk,38.4,20.6,0.9,66.7
FX-0009,Thornlace,Mistfen Reach,Husk,12.0,8.3,3.3,45.8
FX-0010,Verdant Ash,Mistfen Reach,Radiant,17.0,17.3,77.2,48.7
FX-0011,Emberoak,Mistfen Reach,Thriving,25.4,25.1,58.1,64.6
FX-0012,Palepear,Mistfen Reach,Radiant,17.2,4.5,75.7,49.5
FX-0013,Emberoak,Mistfen Reach,Thriving,25.4,24.5,45.9,65.3
FX-0014,Bloomspire,Mistfen Reach,Thriving,21.9,36.7,62.4,61.7
FX-0015,Goldfan Ginko,Hollowdeep,Thriving,33.3,11.7,65.8,66.3
FX-0016,Coralmaple,Cragside,Thriving,32.8,18.9,59.3,69.4
FX-0017,Emberoak,Hollowdeep,Thriving,23.6,26.6,53.5,63.4
FX-0018,Palepear,Sunspire Heights,Thriving,16.3,5.7,47.4,55.5
FX-0019,Whispering Linden,Hollowdeep,Waning,23.6,18.8,25.7,34.6
FX-0020,Ironcrown Oak,Sunspire Heights,Thriving,29.9,30.2,78.0,74.7
FX-0021,Verdant Ash,Mistfen Reach,Radiant,17.3,19.0,82.9,45.8
FX-0022,Bloomspire,Mistfen Reach,Radiant,21.7,44.2,79.4,63.2
FX-0023,Glasszelkova,Mistfen Reach,Radiant,31.4,11.6,78.5,49.4
FX-0024,Goldfan Ginko,Cragside,Thriving,32.8,14.3,55.8,75.6
FX-0025,Ironcrown Oak,Mistfen Reach,Waning,26.5,29.6,23.5,61.9
FX-0026,Whispering Linden,Cragside,Thriving,18.8,19.2,55.6,52.0
FX-0027,Ironcrown Oak,Mistfen Reach,Waning,26.5,31.4,30.1,55.0
FX-0028,Palepear,Sunspire Heights,Thriving,14.7,3.0,61.0,50.0
FX-0029,Verdant Ash,Mistfen Reach,Radiant,16.6,15.0,79.1,45.0
FX-0030,Emberoak,Mistfen Reach,Thriving,25.4,26.4,54.4,66.5
FX-0031,Thornlace,Mistfen Reach,Thriving,18.4,15.9,48.6,49.9
FX-0032,Palepear,Sunspire Heights,Thriving,21.3,8.7,58.4,52.0
FX-0033,Whispering Linden,Sunspire Heights,Radiant,30.2,19.5,80.9,55.9
FX-0034,Goldfan Ginko,Mistfen Reach,Thriving,33.6,15.6,64.5,66.5
FX-0035,Verdant Ash,Sunspire Heights,Waning,27.7,18.9,26.2,48.0
FX-0036,Verdant Ash,Sunspire Heights,Thriving,21.5,22.8,54.7,52.4
FX-0037,Verdant Ash,Sunspire Heights,Waning,20.3,16.2,24.5,51.6
FX-0038,Glasszelkova,Mistfen Reach,Radiant,29.4,10.9,82.0,42.8
FX-0039,Emberoak,Cragside,Radiant,22.7,28.5,85.0,73.1
FX-0040,Emberoak,Mistfen Reach,Thriving,28.1,30.9,53.6,65.7
FX-0041,Duskmaple,Mistfen Reach,Thriving,14.4,28.4,43.8,64.8
FX-0042,Emberoak,Mistfen Reach,Thriving,27.8,23.5,62.1,68.6
FX-0043,Ghostplane,Mistfen Reach,Radiant,21.0,29.4,81.1,46.2
FX-0044,Ironcrown Oak,Cragside,Thriving,20.3,33.2,53.5,67.7
FX-0045,Glasszelkova,Sunspire Heights,Waning,32.4,16.0,34.1,55.6
FX-0046,Glasszelkova,Sunspire Heights,Radiant,35.2,9.2,78.9,53.4
FX-0047,Glasszelkova,Sunspire Heights,Radiant,32.6,9.1,77.3,52.8
FX-0048,Ironcrown Oak,Mistfen Reach,Thriving,22.4,33.3,46.5,68.3
FX-0049,Duskmaple,Mistfen Reach,Thriving,16.7,29.4,57.3,66.0
FX-0050,Whispering Linden,Mistfen Reach,Thriving,27.0,16.7,48.3,41.7
FX-0051,Palepear,Sunspire Heights,Thriving,16.3,7.8,57.3,54.3
FX-0052,Coralmaple,Hollowdeep,Thriving,28.0,24.0,52.7,59.5
FX-0053,Goldfan Ginko,Cragside,Radiant,35.0,14.6,83.1,64.8
FX-0054,Ironcrown Oak,Cragside,Thriving,27.4,29.1,44.4,69.2
FX-0055,Whispering Linden,Sunspire Heights,Husk,30.6,18.3,11.1,52.4
FX-0056,Coralmaple,Hollowdeep,Waning,28.9,21.1,43.1,58.9
FX-0057,Verdant Ash,Mistfen Reach,Radiant,20.7,25.2,69.4,47.3
FX-0058,Thornlace,Cragside,Radiant,15.0,10.3,71.3,49.2
FX-0059,Glasszelkova,Mistfen Reach,Thriving,28.1,11.4,55.1,47.2
FX-0060,Whispering Linden,Mistfen Reach,Radiant,26.6,16.7,79.6,48.9
FX-0061,Bloomspire,Cragside,Thriving,24.4,37.5,48.7,72.8
FX-0062,Coralmaple,Hollowdeep,Thriving,27.5,22.3,58.5,60.0
FX-0063,Emberoak,Mistfen Reach,Thriving,27.2,25.5,51.3,61.7
FX-0064,Glasszelkova,Sunspire Heights,Thriving,34.4,10.6,53.5,56.5
FX-0065,Goldfan Ginko,Cragside,Radiant,36.4,15.2,84.1,71.5
FX-0066,Thornlace,Mistfen Reach,Husk,18.4,15.6,4.8,44.4
FX-0067,Ghostplane,Sunspire Heights,Radiant,23.4,36.4,81.0,52.5
FX-0068,Verdant Ash,Sunspire Heights,Thriving,24.9,13.2,63.9,51.5
FX-0069,Whispering Linden,Sunspire Heights,Thriving,25.7,17.4,53.9,51.7
FX-0070,Coralmaple,Mistfen Reach,Thriving,33.6,18.4,55.4,67.5
FX-0071,Ghostplane,Mistfen Reach,Thriving,20.8,31.5,48.9,45.5
FX-0072,Whispering Linden,Sunspire Heights,Thriving,31.0,22.8,68.8,55.2
FX-0073,Emberoak,Cragside,Husk,25.8,26.2,0.0,62.8
FX-0074,Glasszelkova,Mistfen Reach,Waning,27.5,16.2,26.9,37.5
FX-0075,Whispering Linden,Hollowdeep,Thriving,20.9,22.6,63.2,41.8
FX-0076,Bloomspire,Hollowdeep,Waning,18.4,32.1,28.3,62.0
FX-0077,Thornlace,Hollowdeep,Waning,14.7,16.5,27.7,46.4
FX-0078,Whispering Linden,Mistfen Reach,Husk,26.5,21.2,0.3,41.1
FX-0079,Verdant Ash,Mistfen Reach,Waning,18.5,19.0,27.3,45.2
FX-0080,Ironcrown Oak,Hollowdeep,Thriving,26.4,29.5,55.4,64.4
FX-0081,Ironcrown Oak,Mistfen Reach,Waning,26.8,32.6,20.4,66.4
FX-0082,Verdant Ash,Mistfen Reach,Thriving,12.7,21.7,55.7,46.3
FX-0083,Duskmaple,Cragside,Waning,18.1,20.9,20.3,68.8
FX-0084,Bloomspire,Cragside,Waning,21.2,40.7,24.2,65.4
FX-0085,Emberoak,Mistfen Reach,Waning,25.7,24.0,32.1,63.7
FX-0086,Thornlace,Sunspire Heights,Thriving,21.1,13.3,58.4,57.4
FX-0087,Emberoak,Hollowdeep,Waning,20.0,26.8,33.8,63.0
FX-0088,Bloomspire,Hollowdeep,Waning,16.0,32.8,38.9,63.5
FX-0089,Duskmaple,Mistfen Reach,Husk,21.8,23.0,0.0,64.5
FX-0090,Ironcrown Oak,Cragside,Thriving,28.7,31.0,54.5,69.2
FX-0091,Thornlace,Mistfen Reach,Thriving,15.2,11.9,53.1,44.8
FX-0092,Emberoak,Cragside,Thriving,24.7,30.7,60.0,61.6
FX-0093,Goldfan Ginko,Cragside,Thriving,33.6,14.1,54.7,65.4
FX-0094,Glasszelkova,Mistfen Reach,Thriving,25.9,14.3,65.4,43.5
FX-0095,Ironcrown Oak,Mistfen Reach,Thriving,25.3,37.5,49.2,59.6
FX-0096,Palepear,Sunspire Heights,Thriving,15.2,3.6,52.1,53.9
FX-0097,Duskmaple,Cragside,Thriving,16.3,24.2,59.1,68.4
FX-0098,Thornlace,Sunspire Heights,Thriving,25.2,13.7,47.4,57.7
FX-0099,Coralmaple,Mistfen Reach,Thriving,27.3,21.8,54.4,65.5
FX-0100,Coralmaple,Cragside,Waning,31.3,15.8,19.0,71.2
FX-0101,Duskmaple,Mistfen Reach,Thriving,17.3,22.8,54.1,64.2
FX-0102,Coralmaple,Cragside,Radiant,31.0,24.5,73.3,73.2
FX-0103,Glasszelkova,Sunspire Heights,Thriving,32.8,7.7,61.4,57.4
FX-0104,Glasszelkova,Sunspire Heights,Waning,32.4,14.8,31.7,54.3
FX-0105,Ironcrown Oak,Mistfen Reach,Thriving,19.7,26.4,57.4,63.0
FX-0106,Ghostplane,Sunspire Heights,Thriving,19.0,32.1,51.4,53.5
FX-0107,Thornlace,Cragside,Radiant,19.6,10.7,85.2,54.5
FX-0108,Goldfan Ginko,Mistfen Reach,Thriving,33.6,10.7,55.2,61.4
FX-0109,Goldfan Ginko,Hollowdeep,Thriving,31.9,18.7,58.9,61.0
FX-0110,Palepear,Hollowdeep,Thriving,9.1,12.1,51.5,39.1
FX-0111,Ghostplane,Mistfen Reach,Thriving,22.8,36.4,46.4,44.7
FX-0112,Ghostplane,Mistfen Reach,Thriving,21.8,31.5,48.8,47.4
FX-0113,Glasszelkova,Hollowdeep,Thriving,25.8,13.2,57.0,39.6
FX-0114,Duskmaple,Cragside,Thriving,22.5,26.2,46.9,67.7
FX-0115,Thornlace,Sunspire Heights,Waning,22.8,17.3,22.3,50.8
FX-0116,Verdant Ash,Mistfen Reach,Waning,18.6,24.9,20.6,39.4
FX-0117,Ironcrown Oak,Cragside,Husk,23.3,33.8,7.3,66.2
FX-0118,Whispering Linden,Sunspire Heights,Thriving,28.5,18.9,56.0,52.6
FX-0119,Duskmaple,Mistfen Reach,Thriving,15.3,22.8,63.1,67.2
FX-0120,Palepear,Mistfen Reach,Radiant,14.9,7.7,85.3,47.9
FX-0121,Bloomspire,Cragside,Radiant,23.6,39.5,77.2,71.2
FX-0122,Glasszelkova,Hollowdeep,Thriving,21.0,12.8,60.7,40.3
FX-0123,Glasszelkova,Hollowdeep,Waning,29.8,12.9,26.7,44.3
FX-0124,Duskmaple,Cragside,Waning,22.6,21.7,28.0,69.5
FX-0125,Emberoak,Mistfen Reach,Radiant,28.6,32.4,83.2,70.4
FX-0126,Glasszelkova,Hollowdeep,Radiant,25.7,16.9,85.7,48.0
FX-0127,Palepear,Mistfen Reach,Husk,13.7,7.9,8.9,40.2
FX-0128,Whispering Linden,Sunspire Heights,Waning,30.8,18.5,29.1,54.9
FX-0129,Glasszelkova,Hollowdeep,Radiant,27.9,11.8,81.8,44.4
FX-0130,Thornlace,Sunspire Heights,Husk,17.0,13.8,0.0,48.4
